Instance,Proba
1 411 1,0.46875
1 414 0,0.25
1 414 1,0.5
1 415 0,0.25
1 415 1,0.5
1 419 0,0.25
1 419 1,0.5
1 422 0,0.25
1 422 1,0.5
1 428 0,0.25
1 428 1,0.5
1 429 0,0.25
1 429 1,0.5
